code,description,count
210,ACCIDENTS DE TRÀNSIT SENSE FERITS,17
222,INFRACCIONS EN MOVIMENT,14
410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,2
420,INCIDÈNCIES DE LOCALS,29
400,CONVIVÈNCIA VEINAL,-8
220,INFRACCIONS EN GUALS I RESERVES,5
230,TRASLLATS DE VEHICLES SENSE INFRACCIÓ,-60
510,BARALLES,-65
610,ACTES CONTRA LA PROPIETAT PRIVADA,15
204,SENYALS NO AUTOMATITZADES,-19
411,VENDA AMBULANT,-133
221,INFRACCIONS PER ESTACIONAMENTS,-6
211,ACCIDENTS DE TRÀNSIT AMB FERITS,8
300,ASSISTÈNCIA A PERSONES EN EDIFICI,34
240,CONTROLS DE TRÀNSIT,-266
200,INCIDÈNCIES AMB AFECTACIÓ DE VIA,16
301,ASSISTÈNCIA A PERSONES EN ESPAIS PÚBLICS,16
223,INFRACCIONS EN MOVIMENT (VEHICLES),-93
242,IMMOBILITZACIONS /DESIMMOBILITZACIONS,24
470,ALTRES INTERVENCIONS DE P. ADMINISTRATIVA,39
203,SENYALS AUTOMATITZADES,-46
302,ASSISTÈNCIA A CONDUCTORS EN V. P.,163
201,INCIDÈNCIES AMB PERILL PEL TRÀNSIT,52
0,INCENDIS,-21
440,ANIMALS DE COMPANYIA,246
650,VIGILÀNCIA POLICIAL,94
700,ACTIVITAT AMB PRESOS,26
21M,ACCIDENT PROCEDENT PASSAREL·LA CME,-164
680,ALTRES ACTUACIONS DE S. C.,5
202,RESTRICCIONS TEMPORALS DE TRÀNSIT,46
511,VANDALISME,-4
100,ÀMBIT DE PROTECCIÓ DEL MENOR,117
303,ASSISTÈNCIA A MALALTS MENTALS,28
62,AVARIES DE SERVEIS MUNICIPALS,5
660,VIOLÈNCIA DOMÈSTICA,54
442,ALTRES INCIDÈNCIES AMB ANIMALS,-43
61,AVARIES DE SERVEIS PÚBLICS,-54
241,SUPORTS,157
70,SINISTRES EN EDIFICIS,-90
800,FOGUERES / BARBACOES,2
422,INSPECCIONS / CONTROLS EN LOCALS,12
830,ALTRES ACTUACIONS EN MEDI AMBIENT,54
620,ESTUPEFAENTS / PSICOTROPICS,-9
480,ALARMES D'INCENDI / ROBATORI,121
600,COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL,120
421,INFRACCIONS EN LOCALS,-12
670,AGRESSIONS,155
441,ANIMALS / INSECTES PERILLOSOS,164
305,COL·LABORACIÓ AMB ALTRES SERVEIS,132
640,INFRACCIONS D'ESTRANGERS,-73
20,PLUJA TORRENCIAL,64
513,CONFLICTES EN LOCALS,42
530,DELICTES CONTRA L'ORDRE PÚBLIC,-19
500,MANIFESTACIONS / CONCENTRACIONS,165
40,TRANSPORT PÚBLIC,-7
10,EXPLOSIONS,-5
21,VENTS FORTS,-1
451,OCUPACIONS D'ESPAIS PÚBLICS,93
630,CONTRA LA LLIBERTAT SEXUAL,49
30,MATÈRIES PERILLOSES,-34
401,MOLESTIES PER GENERADORS,-36
611,ACTES CONTRA LA PROPIETAT PÚBLICA,15
810,ABOCAMENT DE RESIDUS,228
430,ESPECTACLES EN ESPAIS PÚBLICS,132
21B,ACCIDENT REBUT PEL 080 (Recodificar),4
450,OBRES / TREBALLS EN ESPAIS PÚBLICS,34
50,ATEMPTATS,234
22,NEU I GEL,-54
250,CONDUCCIONS I ACOMPANYAMENTS,15
63,EDIFICIS OFICIALS,13
820,CAÇA / PESCA / FLORA / FAUNA,-7
23,COMUNICATS D'EMERGÈNCIA,-5
60,SUBMINISTRAMENTS BÀSICS,1
512,TRIBUS URBANES,-10
102,REFORMA,50
101,ÀMBIT EDUCATIU,41
520,OCUPACIONS IL·LÍCITES,21
460,INCIDÈNCIES D'ALIMENTS,12
212,ACCIDENTS DE TRANSIT AMB MATERIES PERILLOSSES,-4
489,PROVES DEL SISTEMA,-3
710,CUSTÒDIES,-1
631,CONTRA ELS DRETS DELS TREBALLADORS,2
304,ASSISTÈNCIA EN LES PLATGES,11
-1,Desconegut,-2
621,DELICTES ALIMENTARIS,1
720,INCIDÈNCIES AMB PRESOS I DETINGUTS,-3
999,SENSE IDENTIFICAR,61
